English Name,Item Type,Main Category,Description,Buy PokeYen,Buy BP,Buy Coin,Buy RP,Sell PokeYen
Elixir,Medicine,Medicine,"It restores the PP of all the
moves learned by the targeted Pokémon
by 10 points each.",3000,0,0,0,1500
Max Elixir,Medicine,Medicine,"It fully restores the PP of all the
moves learned by the targeted
Pokémon.",4500,0,0,0,2250
Lava Cookie,Medicine,Medicine,"Lavaridge Town's local specialty.
It heals all the status problems of
one Pokémon.",1200,0,0,0,600
Blue Flute,Useable Items,Key Items,"A toy flute made from blue glass.
A maniac will buy it for a high
price.",500,0,0,0,250
Yellow Flute,Useable Items,Key Items,A yellow glass flute that snaps one POKéMON out of confusion,500,0,0,0,250
Red Flute,Useable Items,Key Items,A red glass flute that snaps one POKéMON out of infatuation,500,0,0,0,250
Black Flute,Useable Items,Key Items,"A black glass flute. When blown, it makes wild POKéMON less likely to appear",500,0,0,0,250
White Flute,Useable Items,Key Items,"A toy flute made from white glass.
A maniac will buy it for a high
price.",500,0,0,0,250
Berry Juice,Medicine,Medicine,"A 20% pure juice made of Berries.
It restores the HP of one Pokémon by
just 20 points.",100,0,0,0,50
Sacred Ash,Medicine,Medicine,"Revives all fainted POKéMON, restoring HP fully",0,0,0,0,0
Shoal Salt,Miscellaneous Items,Items,Pure salt obtained from deep inside the SHOAL CAVE. It is extremely salty,20,0,0,0,10
Shoal Shell,Miscellaneous Items,Items,"A pretty seashell that can be found
deep inside the Shoal Cave.
A maniac will buy it for a high
price.",20,0,0,0,10
Red Shard,Miscellaneous Items,Items,"A small red shard.
It appears to be from some sort of
implement made long ago.",10000,0,0,0,1000
Blue Shard,Miscellaneous Items,Items,"A small blue shard.
It appears to be from some sort of
implement made long ago.",10000,0,0,0,1000
Yellow Shard,Miscellaneous Items,Items,"A small yellow shard.
It appears to be from some sort of
implement made long ago.",10000,0,0,0,1000
Green Shard,Miscellaneous Items,Items,"A small green shard.
It appears to be from some sort of
implement made long ago.",10000,0,0,0,1000
Protein,Vitamins,Medicine,"A nutritious drink for Pokémon.
It raises the base Attack stat of a
single Pokémon.",3650,275,0,0,1825
Iron,Vitamins,Medicine,"A nutritious drink for Pokémon.
It raises the base Defense stat of a
single Pokémon.",3650,275,0,0,1825
Carbos,Vitamins,Medicine,"A nutritious drink for Pokémon.
It raises the base Speed stat of a
single Pokémon.",3650,275,0,0,1825
Calcium,Vitamins,Medicine,"A nutritious drink for Pokémon.
It raises the base Sp. Atk (Special
Attack) stat of a single Pokémon.",3650,275,0,0,1825
Rare Candy,Vitamins,Medicine,"A candy that is packed with energy.
It raises the level of a single
Pokémon
by one.",4800,0,0,0,2400
Zinc,Vitamins,Medicine,"A nutritious drink for Pokémon.
It raises the base Sp. Def (Special
Defense) stat of a single Pokémon.",3650,275,0,0,1825
Dire Hit,Battle Items,Battle Items,"It raises the critical-hit ratio
greatly.
It can be used only once and wears
off
if the Pokémon is withdrawn.",1500,0,0,0,750
X Attack,Battle Items,Battle Items,"An item which raises the Attack of a
Pokémon in battle by 2 stages. It
wears off if they're withdrawn.

Only 2 can be used at a time.
Consumed upon use.",2000,0,0,0,1000
X Defend,Battle Items,Battle Items,"An item which raises the Defense of a
Pokémon in battle by 2 stages. It
wears off if they're withdrawn.

Only 2 can be used at a time.
Consumed upon use.",2500,0,0,0,1250
X Speed,Battle Items,Battle Items,"An item which raises the Speed of a
Pokémon in battle by 2 stages. It
wears off if they're withdrawn.

Only 2 can be used at a time.
Consumed upon use.",2000,0,0,0,1000
X Accuracy,Battle Items,Battle Items,"An item which raises the Accuracy of a
Pokémon in battle by 2 stages. It
wears off if they're withdrawn.

Only 2 can be used at a time.
Consumed upon use.",1500,0,0,0,750
X Special,Battle Items,Battle Items,"An item which raises the Sp. Attack of
a Pokémon in battle by 2 stages. It
wears off if they're withdrawn.

Only 2 can be used at a time.
Consumed upon use.",2000,0,0,0,1000
Poké Doll,Adventure Item,Items,"A doll that attracts Pokémon.
Use it to flee from any battle with a
wild Pokémon.",300,0,0,0,150
Fluffy Tail,Adventure Item,Items,An attractive item. Use it to flee from any battle with a wild POKéMON,10000,0,0,0,500
Super Repel,Adventure Item,Items,"An item that prevents weak wild
Pokémon from appearing for 200 steps
after its use.",750,0,0,0,375
Max Repel,Adventure Item,Items,"An item that prevents weak wild
Pokémon from appearing for 250 steps
after its use.",900,0,0,0,450
Escape Rope,Adventure Item,Items,"A long, durable rope.
Use it to escape instantly from a
cave
or a dungeon.",750,0,0,0,375
Repel,Adventure Item,Items,Prevents weak wild POKéMON from appearing for 100 steps,400,0,0,0,200
Sun Stone,Evolution Items,Items,"A peculiar stone that makes certain
species of Pokémon evolve.
It is as red as the sun.",5000,0,0,0,2500
Moon Stone,Evolution Items,Items,"A peculiar stone that makes certain
species of Pokémon evolve.
It is as black as the night sky.",5000,0,0,0,2500
Fire Stone,Evolution Items,Items,"A peculiar stone that makes certain
species of Pokémon evolve.
It is colored orange.",5000,0,0,0,1000
Thunderstone,Evolution Items,Items,"A peculiar stone that makes certain
species of Pokémon evolve.
It has a thunderbolt pattern.",5000,0,0,0,1000
Water Stone,Evolution Items,Items,"A peculiar stone that makes certain
species of Pokémon evolve.
It is a clear, light blue.",5000,0,0,0,1000
Leaf Stone,Evolution Items,Items,"A peculiar stone that makes certain
species of Pokémon evolve.
It has a leaf pattern.",5000,0,0,0,1000
Big Mushroom,Miscellaneous Items,Items,"A large and rare mushroom.
It is sought after by collectors.",5000,0,0,0,2500
Pearl,Miscellaneous Items,Items,"A somewhat-small pearl that sparkles
in a pretty silver color.
It can be sold cheaply to shops.",4000,0,0,0,2000
Big Pearl,Miscellaneous Items,Items,"A quite-large pearl that sparkles in
a
pretty silver color. It can be sold
at
a high price to shops.",7500,0,0,0,3750
Stardust,Miscellaneous Items,Items,"Lovely, red-colored sand with a
loose,
silky feel. It can be sold at a high
price to shops.",4000,0,0,0,2000
Star Piece,Miscellaneous Items,Items,"A shard of a pretty gem that sparkles
in a red color. It can be sold at a
high price to shops.",9800,0,0,0,4900
Nugget,Miscellaneous Items,Items,"A nugget of pure gold that gives off
a
lustrous gleam. It can be sold at a
high price to shops.",10000,0,0,0,5000
Heart Scale,Miscellaneous Items,Items,"A pretty, heart-shaped scale that is
extremely rare. It glows faintly in
the
colors of the rainbow.",500,0,0,0,250
Orange Mail,Mail Items,Items,A piece of MAIL featuring a cute ZIGZAGOON print. It is to be held by a POKéMON,,,,,
Harbor Mail,Mail Items,Items,"A piece of MAIL featuring a cute
WINGULL print.
It is to be held by a POKéMON.",,,,,
Glitter Mail,Mail Items,Items,A piece of MAIL featuring a cute PIKACHU print. It is to be held by a POKéMON,,,,,
Mech Mail,Mail Items,Items,A piece of MAIL featuring a cute MAGNEMITE print. It is to be held by a POKéMON,,,,,
Wood Mail,Mail Items,Items,A piece of MAIL featuring a cute SLAKOTH print. It is to be held by a POKéMON,,,,,
Wave Mail,Mail Items,Items,A piece of MAIL featuring a cute WAILMER print. It is to be held by a POKéMON,,,,,
Bead Mail,Mail Items,Items,A piece of MAIL to be held by a POKéMON. It will bear the print of the POKéMON holding it,,,,,
Shadow Mail,Mail Items,Items,A piece of MAIL featuring a cute DUSKULL print. It is to be held by a POKéMON,,,,,
Tropic Mail,Mail Items,Items,A piece of MAIL featuring a cute BELLOSSOM print. It is to be held by a POKéMON,,,,,
Dream Mail,Mail Items,Items,A piece of MAIL to be held by a POKéMON. It will bear the print of the POKéMON holding it,,,,,
Fab Mail,Mail Items,Items,"A piece of MAIL featuring a gorgeous, extravagant print. It is to be held by a POKéMON",,,,,
Retro Mail,Mail Items,Items,A piece of MAIL featuring a print of three cute POKéMON. It is to be held by a POKéMON,,,,,
Cheri Berry,Healing Berries,Berries,"If held by a Pokémon,
it recovers from paralysis.",800,0,0,0,400
Chesto Berry,Healing Berries,Berries,"If held by a Pokémon,
it recovers from sleep.",800,0,0,0,400
Pecha Berry,Healing Berries,Berries,"If held by a Pokémon,
it recovers from poison.",800,0,0,0,400
Rawst Berry,Healing Berries,Berries,"If held by a Pokémon,
it recovers from a burn.",800,0,0,0,400
Aspear Berry,Healing Berries,Berries,"If held by a Pokémon,
it defrosts it.",800,0,0,0,400
Leppa Berry,Healing Berries,Berries,"If held by a Pokémon,
it restores a move's PP by 10.",1200,0,0,0,600
Oran Berry,Healing Berries,Berries,"If held by a Pokémon,
it heals the user by just 10 HP.",800,0,0,0,400
Persim Berry,Healing Berries,Berries,"If held by a Pokémon,
it recovers from confusion.",800,0,0,0,400
Lum Berry,Healing Berries,Berries,"If held by a Pokémon,
it recovers from any status problem.",1600,0,0,0,800
Sitrus Berry,Healing Berries,Berries,"When held by a Pokémon, if their HP
falls below half, it will heal for a
quarter of their max HP.",1600,0,0,0,800
Figy Berry,Healing Berries,Berries,"If held by a Pokémon, it restores the
user's HP in a pinch, but will cause
confusion if it hates the taste.",1200,0,0,0,600
Wiki Berry,Healing Berries,Berries,"If held by a Pokémon, it restores the
user's HP in a pinch, but will cause
confusion if it hates the taste.",1200,0,0,0,600
Mago Berry,Healing Berries,Berries,"If held by a Pokémon, it restores the
user's HP in a pinch, but will cause
confusion if it hates the taste.",1200,0,0,0,600
Aguav Berry,Healing Berries,Berries,"If held by a Pokémon, it restores the
user's HP in a pinch, but will cause
confusion if it hates the taste.",1200,0,0,0,600
Iapapa Berry,Healing Berries,Berries,"If held by a Pokémon, it restores the
user's HP in a pinch, but will cause
confusion if it hates the taste.",1200,0,0,0,600
Razz Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",800,0,0,0,400
Bluk Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",800,0,0,0,400
Nanab Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",800,0,0,0,400
Wepear Berry,Miscellaneous Berries,Berries,Can be ground up into a powder as an ingredient for medicine,800,0,0,0,400
Pinap Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",800,0,0,0,400
Pomeg Berry,EV Reduction Berries,Berries,"Using it on a Pokémon makes it more
friendly, but it also lowers its base
HP.",1200,0,0,0,600
Kelpsy Berry,EV Reduction Berries,Berries,"Using it on a Pokémon makes it more
friendly, but it also lowers its base
Attack stat.",1200,0,0,0,600
Qualot Berry,EV Reduction Berries,Berries,"Using it on a Pokémon makes it more
friendly, but it also lowers its base
Defense stat.",1200,0,0,0,600
Hondew Berry,EV Reduction Berries,Berries,"Using it on a Pokémon makes it more
friendly, but it also lowers its base
Sp. Atk stat.",1200,0,0,0,600
Grepa Berry,EV Reduction Berries,Berries,"Using it on a Pokémon makes it more
friendly, but it also lowers its base
Sp. Def stat.",1200,0,0,0,600
Tamato Berry,EV Reduction Berries,Berries,"Using it on a Pokémon makes it more
friendly, but it also lowers its base
Speed stat.",1200,0,0,0,600
Cornn Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",1200,0,0,0,600
Magost Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",1200,0,0,0,600
Rabuta Berry,Miscellaneous Berries,Berries,Can be ground up into a powder as an ingredient for medicine,1200,0,0,0,600
Nomel Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",1200,0,0,0,600
Spelon Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",1400,0,0,0,700
Pamtre Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",1400,0,0,0,700
Watmel Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",1400,0,0,0,700
Durin Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",1400,0,0,0,700
Belue Berry,Miscellaneous Berries,Berries,"A Berry which is very rare in the
Unova region.
A maniac will buy it for a high
price.",1400,0,0,0,700
Liechi Berry,Other Battle Berries,Berries,"If held by a Pokémon, it raises its
Attack stat in a pinch.",1100,0,0,0,550
Ganlon Berry,Other Battle Berries,Berries,"If held by a Pokémon, it raises its
Defense stat in a pinch.",1100,0,0,0,550
Salac Berry,Other Battle Berries,Berries,"If held by a Pokémon, it raises its
Speed stat in a pinch.",1100,0,0,0,550
Petaya Berry,Other Battle Berries,Berries,"If held by a Pokémon, it raises its
Sp. Atk stat in a pinch.",1100,0,0,0,550
Apicot Berry,Other Battle Berries,Berries,"If held by a Pokémon, it raises its
Sp. Def stat in a pinch.",1100,0,0,0,550
Lansat Berry,Other Battle Berries,Berries,"If held by a Pokémon, it raises its
critical-hit ratio in a pinch.",1200,0,0,0,600
Starf Berry,Other Battle Berries,Berries,"If held by a Pokémon, it sharply
raises
one of its stats in a pinch.",1200,0,0,0,600
Enigma Berry,Other Battle Berries,Berries,"If held by a Pokémon, it restores
its HP if it is hit by any
supereffective attack.",1400,0,0,0,700
White Herb,Hold Items,Items,"A held item which restores any
negative stat stage in battle.

Consumed on use.",200,100,0,0,100
Macho Brace,Hold Items,Items,"An item to be held by a Pokémon. It
is
a stiff and heavy brace that promotes
strong growth but lowers Speed.",3000,0,0,0,1500
Exp. Share,Hold Items,Items,"An item to be held by a Pokémon.
The holder gets a share of a battle's
Exp. Points without battling.",3000,0,0,0,1500
Quick Claw,Hold Items,Items,"An item to be held by a Pokémon.
A light, sharp claw that lets the
bearer move first occasionally.",2000,0,0,0,1000
Soothe Bell,Hold Items,Items,"An item to be held by a Pokémon. It
is
a bell with a comforting chime that
calms the holder and makes it
friendly.",100,0,0,0,50
Mental Herb,Hold Items,Items,"It snaps the holder out of
move-binding effects and infatuation,
when they are applied.

This item is consumed upon use.",200,85,0,0,100
Choice Band,Hold Items,Items,"An item to be held by a Pokémon.
Holding this item will increase Attack
by 50% when in battle, but only
allows the use of the first move
selected.",3000,9800,0,0,1500
Amulet Coin,Hold Items,Items,"An item which increases the amount of
Money gained from trainer battles for
a short period of time.

1.50x Money gain.
Stacks with other bonuses.
Consumed upon use.
Effects last 1 hour.",100,0,0,0,50
Cleanse Tag,Hold Items,Items,"An item to be held by a Pokémon.
It helps keep wild Pokémon away if
the
holder is the first one in the party.",3000,0,0,0,1500
Soul Dew,Hold Items,Items,An orb to be held by a LATIOS or LATIAS. It raises the SP. ATK and SP. DEF stats,200,0,0,0,100
Smoke Ball,Hold Items,Items,"When held by a Pokémon, it increases
the chance to escape from a wild
Pokémon.",200,0,0,0,100
Everstone,Hold Items,Items,"An item to be held by a Pokémon.
The holding Pokémon is prevented from
evolving.

If held by a Pokémon while breeding,
the child will always have the
holder's Nature.",4000,0,0,0,2000
Focus Band,Hold Items,Items,"An item to be held by a Pokémon.
The holder may endure a potential KO
attack, leaving it with just 1 HP.",3000,3200,0,0,1500
Lucky Egg,Hold Items,Items,"An item which increases the amount of
EXP gained for a short period of
time.

2.0x EXP gain.
Stacks with other bonuses.
Consumed upon use.
Effects last 1 hour.",4000,0,0,0,2000
Scope Lens,Hold Items,Items,"An item to be held by a Pokémon.
It is a lens that boosts the holder's
critical-hit ratio.",4000,4800,0,0,2000
Metal Coat,Evolution Items,Items,"An item to be held by a Pokémon.
It increases the power of Steel-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Leftovers,Hold Items,Items,"An item to be held by a Pokémon.
When in battle, 6.25% of the holder's
HP is restored at the end of each
turn.",3000,4800,0,0,1500
Dragon Scale,Evolution Items,Items,"A thick and tough scale.
Dragon-type Pokémon may be holding
this item when caught.",3000,0,0,0,1500
Light Ball,Hold Items,Items,"An item to be held by Pikachu which
doubles its Attack and Sp.Attack when
in battle.

If held by a Pikachu while breeding a
Pichu, it will learn Volt Tackle.",1500,0,0,0,750
Soft Sand,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Ground-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Hard Stone,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Rock-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Miracle Seed,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Grass-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Black Belt,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Fighting-ty
pe moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Magnet,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Electric-ty
pe moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Mystic Water,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Water-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Sharp Beak,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Flying-type
moves by 20%..

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Poison Barb,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Poison-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Spell Tag,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Ghost-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Charcoal,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Fire-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Dragon Fang,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Dragon-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Silk Scarf,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Normal-type
moves by 20%.

It is popular among certain Move
Tutors.",3000,0,0,0,1500
Up-grade,Evolution Items,Items,A transparent device filled with all sorts of data. It is made by SILPH CO,,,,,
Shell Bell,Hold Items,Items,"An item to be held by a Pokémon.
It restores HP to the holder equal to
12.5% of damage inflicted by a move.

The effects of this item can be
nullified by the Heal Block ability.",4000,0,0,0,2000
Sea Incense,Hold Items,Items,"An item to be held by a Pokémon.
It increases the power of Water-type
moves by 20%.

If held by a Marill or Azumarill while
breeding, it may help them produce a
Azurill egg.",4800,0,0,0,2400
Lax Incense,Hold Items,Items,"An item to be held by a Pokémon.
It slightly reduces the foe's
Accuracy.

If held by a Wobbuffet while breeding,
it may help them produce a Wynaut
egg.",4800,0,0,0,2400
Lucky Punch,Hold Items,Items,"An item to be held by Chansey. It is
a
pair of gloves that boosts Chansey's
critical-hit ratio.",4000,0,0,0,2000
Metal Powder,Hold Items,Items,"An item to be held by Ditto.
Extremely fine yet hard, this odd
powder boosts the Defense stat.",3000,0,0,0,1500
Thick Club,Hold Items,Items,"An item to be held by Cubone or
Marowak. It is a hard bone of some
sort that boosts the Attack stat.",3000,0,0,0,1500
Stick,Hold Items,Items,"An item to be held by Farfetch'd. It
is
a very long and stiff stalk of leek
that boosts the critical-hit ratio.",3000,0,0,0,1500
Red Scarf,Hold Items,Items,An item to be held by a POKéMON. It boosts the holding POKéMON's COOL condition in CONTESTS,,,,,
Blue Scarf,Hold Items,Items,An item to be held by a POKéMON. It boosts the holding POKéMON's BEAUTY condition in CONTESTS,,,,,
Pink Scarf,Hold Items,Items,An item to be held by a POKéMON. It boosts the holding POKéMON's CUTE condition in CONTESTS,,,,,
Green Scarf,Hold Items,Items,An item to be held by a POKéMON. It boosts the holding POKéMON's SMART condition in CONTESTS,,,,,
Yellow Scarf,Hold Items,Items,An item to be held by a POKéMON. It boosts the holding POKéMON's TOUGH condition in CONTESTS,,,,,
Mach Bike,Bicycles,Cosmetics,A folding bicycle that is at least twice as fast as walking,,,,,
Coin Case,Useable Items,Key Items,"A case for holding COINS obtained at the GAME CORNER. It holds up to 9,999 COINS",,,,,
Itemfinder,Useable Items,Key Items,"A device used for finding items. If there is a hidden item nearby when it is used, it emits a signal",,,,,
Old Rod,Useable Items,Key Items,An old and beat-up fishing rod. Use it by any body of water to fish for wild POKéMON,,,,,
Good Rod,Useable Items,Key Items,"A new, good-quality fishing rod. Use it by any body of water to fish for wild POKéMON",,,,,
Super Rod,Useable Items,Key Items,"An awesome, high-tech fishing rod. Use it by any body of water to fish for wild POKéMON",,,,,
S.S. Ticket,Storyline Items,Key Items,The ticket required for sailing on the ferry S.S. ANNE. It has a drawing of a ship on it,,,,,
Contest Pass,Storyline Items,Key Items,The pass required for entering POKéMON CONTESTS. It has a drawing of an award ribbon on it,,,,,
Wailmer Pail,Useable Items,Key Items,A nifty watering pail. Use it to promote strong growth in BERRIES planted in soft soil,,,,,
Devon Goods,Storyline Items,Key Items,A package that contains mechanical parts of some sort made by the DEVON CORPORATION,,,,,
Soot Sack,Useable Items,Key Items,A sack used to collect volcanic ash automatically during walks over deep ash,,,,,
Basement Key,Storyline Items,Key Items,"The key to NEW MAUVILLE, which was constructed beneath MAUVILLE CITY",,,,,
Acro Bike,Bicycles,Cosmetics,A folding bicycle that is capable of stunts like jumps and wheelies,,,,,
Pokéblock Case,Pokeblock Case,Berries,A case for holding POKéBLOCKS made with a BERRY BLENDER. It releases one POKéBLOCK when shaken,,,,,
Letter,Storyline Items,Key Items,An extremely important letter to STEVEN from the PRESIDENT of the DEVON CORPORATION,,,,,
Eon Ticket,Storyline Items,Key Items,The ticket required for sailing on a ferry to a distant southern island. It features a drawing of an island,,,,,
Red Orb,Storyline Items,Key Items,An orb that glows red. It is said to contain an incredible power from ancient times,0,0,0,0,0
Blue Orb,Storyline Items,Key Items,An orb that glows blue. It is said to contain an incredible power from ancient times,0,0,0,0,0
Scanner,Storyline Items,Key Items,A device used to search for life-forms in water. It looks too difficult to use,,,,,
Go-goggles,Storyline Items,Key Items,A pair of protective goggles. They enable a TRAINER to travel through even desert sandstorms,,,,,
Meteorite,Storyline Items,Key Items,A meteorite that fell from space onto MT. MOON long ago. It is very lumpy and hard,,,,,
Rm. 1 Key,Storyline Items,Key Items,A key that opens the door to Room 1 inside the ABANDONED SHIP. It is old and looks easily broken,,,,,
Rm. 2 Key,Storyline Items,Key Items,A key that opens the door to Room 2 inside the ABANDONED SHIP. It is old and looks easily broken,,,,,
Rm. 4 Key,Storyline Items,Key Items,A key that opens the door to Room 4 inside the ABANDONED SHIP. It is old and looks easily broken,,,,,
Rm. 6 Key,Storyline Items,Key Items,A key that opens the door to Room 6 inside the ABANDONED SHIP. It is old and looks easily broken,,,,,
Storage Key,Storyline Items,Key Items,A key that opens the storage hold inside the ABANDONED SHIP. It is old and looks easily broken,,,,,
Root Fossil,Storyline Items,Key Items,"A fossil of an ancient Pokémon that
lived in the sea. It appears to be
part of a plant root.",1000,0,0,0,500
Claw Fossil,Storyline Items,Key Items,"A fossil of an ancient Pokémon that
lived in the sea. It appears to be
part of a claw.",1000,0,0,0,500
Devon Scope,Storyline Items,Key Items,A scope that signals the presence of any unseeable POKéMON. It is made by the DEVON CORP,,,,,
Oak'S Parcel,Storyline Items,Key Items,A parcel to be delivered to PROF. OAK from VIRIDIAN CITY's POKéMON MART,,,,,
