Region,Location,Area,Item,Amount,Type,Details
Kanto,Route 9,Rock,Ether,1,Hidden,In a rock
Kanto,Route 9,SE Corner,TwistedSpoon,1,Overworld,South-east corner
Kanto,Route 9,North Path,Chesto Berry,1,Overworld,North path
Kanto,Route 9,East Corner,Rare Candy,1,Hidden,East corner
Kanto,Route 10,Entrance,Persim Berry,1,Overworld,Near Route start
Kanto,Route 10,Trainer Area,Cheri Berry,1,Overworld,Near the girl trainer
Kanto,Route 10,Tunnel Exit,Nanab Berry,1,Overworld,Near Rock Tunnel exit
Kanto,Route 10,Tunnel Wall,Super Potion,1,Hidden,Wall near Rock Tunnel
Kanto,Route 10,Water,Leppa Berry,1,Hidden,Surf south from the north-east
Kanto,Route 10,Poke Center,Everstone,1,NPC Gift,Oak's Aide (requires 20 caught)
Kanto,Route 11,Grass,Magnet,1,Overworld,Grass patch
Kanto,Route 11,SE Corner,Great Ball,1,Overworld,Far south-east
Kanto,Route 11,Rock,Escape Rope,1,Hidden,In a rock
Kanto,Route 11,NW Area,Awakening,1,Overworld,North-west
Kanto,Route 11,Gate House,Itemfinder,1,NPC Gift,Oak's Aide (requires 30 caught)
Kanto,Route 12,Tall Grass,Rare Candy,1,Hidden,In the grass past a cut tree
Kanto,Route 12,Island,Sun Stone,1,Overworld,Behind a cut tree
Kanto,Route 12,House,Super Rod,1,NPC Gift,Fisherman in the house
Kanto,Route 12,Path,Hyper Potion,1,Hidden,On the ground going north
Kanto,Route 12,Water,TM - Psywave,1,Overworld,Surf east
Kanto,Route 12,Gate House,TM - Return,1,NPC Gift,Upstairs in the gatehouse
Kanto,Route 12,Snorlax Spot,Leftovers,1,Hidden,Use Itemfinder where Snorlax was
Kanto,Route 13,SW Corner,PP Up,1,Hidden,South-west corner
Kanto,Route 14,SE Area,Pinap Berry,1,Overworld,South-east
Kanto,Route 14,Grass,Zinc,1,Hidden,In the grass
Kanto,Route 15,NW Area,TM - Whirlwind,1,Overworld,North-west past a cut tree
Kanto,Route 15,Gate House,Exp. Share,1,NPC Gift,Oak's Aide (requires 50 caught)
Kanto,Route 16,Secret House,HM02-Fly,1,NPC Gift,Girl in the secret house
Kanto,Route 16,Snorlax Spot,Leftovers,1,Hidden,Use Itemfinder where Snorlax was
Kanto,Route 16,Gate House,Amulet Coin,1,NPC Gift,Oak's Aide (requires 40 caught)
Kanto,Route 17,Bike Path,Rare Candy,1,Hidden,Scattered across cycling road
Kanto,Route 17,Bike Path,Max Revive,1,Hidden,Scattered across cycling road
Kanto,Route 17,Bike Path,PP Up,1,Hidden,Scattered across cycling road
Kanto,Route 17,Bike Path,Hyper Potion,1,Hidden,Scattered across cycling road
Kanto,Route 17,Bike Path,Ether,1,Hidden,Scattered across cycling road
Kanto,Route 20,Island,Stardust,1,Hidden,North of the swimmer
Kanto,Route 21,Ground,Pearl,1,Hidden,South of the twins
Kanto,Route 23,Badge Check 3,Leppa Berry,1,Overworld,After the 3rd badge check
Kanto,Route 23,Badge Check 5,Leppa Berry,1,Hidden,After the 5th badge check
Kanto,Route 23,Badge Check 6,Great Ball,1,Hidden,After the 6th badge check
Kanto,Route 23,Badge Check 6,Aspear Berry,1,Overworld,After the 6th badge check
Kanto,Route 23,Badge Check 7,Hyper Potion,1,Hidden,In a rock after the 7th badge check
Kanto,Route 23,Badge Check 8,Sitrus Berry,1,Overworld,After the 8th badge check
Kanto,Route 23 (End),League Path,Lum Berry,1,Overworld,North-west before League
Kanto,Route 23 (End),League Path,Apicot Berry,1,Hidden,Far north before League
Kanto,Route 24,Bridge,Nugget,1,NPC Gift,Nugget Bridge boss
Kanto,Route 24,NW Corner,TM - Beat Up,1,Overworld,North-west corner
Kanto,Route 24,Grass,Pecha Berry,1,Overworld,Near the grass
Kanto,Route 25,Hiker Area,Leppa Berry,1,Hidden,Near the first hiker
Kanto,Route 25,Path,Oran Berry,1,Overworld,Along the path
Kanto,Route 25,Path,Bluk Berry,1,Overworld,Along the path
Kanto,Route 25,East Corner,Ether,1,Hidden,East corner
Kanto,Route 25,Bill's House,S.S. Ticket,1,NPC Gift,Bill
Kanto,Route 25,Backyard,TM - Teleport,1,Overworld,Cut tree behind Bill's house
Kanto,Viridian Forest,Tree,Antidote,1,Hidden,In trees
Kanto,Viridian Forest,Grass,Potion,1,Hidden,In grass
Kanto,Viridian Forest,Ground,Poké Ball,1,Overworld,Scattered
Kanto,Viridian Forest,Ground,Super Potion,1,Overworld,Scattered
Kanto,Viridian Forest,Ground,Antidote,1,Overworld,Scattered
Kanto,Viridian Forest,Ground,Potion,1,Overworld,Scattered
Kanto,Mt. Moon,Floor 1,TM - Water Gun,1,Overworld,Scattered
Kanto,Mt. Moon,Floor 1,Parlyz Heal,1,Overworld,Scattered
Kanto,Mt. Moon,Basement 1,Silk Scarf,1,Overworld,Scattered
Kanto,Mt. Moon,Floor 1,Potion,1,Overworld,Scattered
Kanto,Mt. Moon,Floor 1,Rare Candy,1,Overworld,Scattered
Kanto,Mt. Moon,Floor 1,Escape Rope,1,Overworld,Scattered
Kanto,Mt. Moon,Basement 2,TM - Assurance,1,Overworld,Scattered
Kanto,Mt. Moon,Floor 1,Moon Stone,1,Overworld,Scattered
Kanto,Mt. Moon,Basement 2,Revive,1,Overworld,Scattered
Kanto,Mt. Moon,Basement 2,Antidote,1,Overworld,Scattered
Kanto,Mt. Moon,Rocks,TinyMushroom,3,Hidden,Hidden in rocks
Kanto,Mt. Moon,Rocks,Big Mushroom,2,Hidden,Hidden in rocks
Kanto,Mt. Moon,Rocks,Ether,1,Hidden,Hidden in rocks
Kanto,Mt. Moon,Rocks,Moon Stone,1,Hidden,Hidden in rocks
Kanto,Mt. Moon,Basement 2,Dome/Helix Fossil,1,Overworld,Choose one after beating Super Nerd
Kanto,S.S. Anne,Cabins,Super Potion,1,Overworld,Inside various cabins
Kanto,S.S. Anne,Cabins,Ether,1,Overworld,Inside various cabins
Kanto,S.S. Anne,Cabins,TM - Pay Day,1,Overworld,Inside various cabins
Kanto,S.S. Anne,Cabins,TM - Submission,1,Overworld,Inside various cabins
Kanto,S.S. Anne,Cabins,Great Ball,1,Overworld,Inside various cabins
Kanto,S.S. Anne,Cabins,Stardust,1,Overworld,Inside various cabins
Kanto,S.S. Anne,Kitchen,Super Potion,1,Hidden,Check trash cans
Kanto,S.S. Anne,Kitchen,Chesto Berry,1,Hidden,Check trash cans
Kanto,S.S. Anne,Kitchen,Cheri Berry,1,Hidden,Check trash cans
Kanto,S.S. Anne,Kitchen,Pecha Berry,1,Hidden,Check trash cans
Kanto,S.S. Anne,Captain's Room,HM01-Cut,1,NPC Gift,Talk to the Captain
Kanto,Rock Tunnel,Ground,Repel,1,Overworld,Scattered
Kanto,Rock Tunnel,Ground,Revive,1,Overworld,Scattered
Kanto,Rock Tunnel,Ground,Hard Stone,1,Overworld,Scattered
Kanto,Rock Tunnel,Ground,Max Ether,1,Overworld,Scattered
Kanto,Rock Tunnel,Ground,Pearl,1,Overworld,Scattered
Kanto,Rock Tunnel,Hiker,TM - Rock Slide,1,NPC Gift,Talk to the tutor inside
Kanto,Rocket Hideout,Ground,Escape Rope,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,TM - Fake Tears,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,Rare Candy,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,Up-Grade,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,Ether,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,TM - Snatch,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,Lift Key,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,Moon Stone,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,Hyper Potion,2,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,TM - Snarl,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,Super Potion,1,Overworld,Floor loot
Kanto,Rocket Hideout,Ground,Calcium,1,Overworld,Floor loot
Kanto,Rocket Hideout,Boss Room,Silph Scope,1,Overworld,Floor loot
Kanto,Rocket Hideout,Potted Tree,PP Up,1,Hidden,Trees
Kanto,Rocket Hideout,Tiles,Nugget,1,Hidden,Floor tiles
Kanto,Rocket Hideout,Tiles,Net Ball,1,Hidden,Floor tiles
Kanto,Rocket Hideout,Tiles,Nest Ball,1,Hidden,Floor tiles
Kanto,Safari Zone,Ground,Leaf Stone,1,Overworld,Scattered
Kanto,Safari Zone,Ground,TM - Nature Power,1,Overworld,Scattered
Kanto,Safari Zone,Ground,Max Potion,1,Overworld,Scattered
Kanto,Safari Zone,Ground,Super Potion,2,Overworld,Scattered
Kanto,Safari Zone,Ground,Quick Claw,1,Overworld,Scattered
Kanto,Safari Zone,Ground,TM - Egg Bomb,1,Overworld,Scattered
Kanto,Safari Zone,Ground,Protein,1,Overworld,Scattered
Kanto,Safari Zone,Ground,Gold Teeth,1,Overworld,Scattered
Kanto,Safari Zone,Ground,TM - Screech,1,Overworld,Scattered
Kanto,Safari Zone,Ground,Max Revive,1,Overworld,Scattered
Kanto,Safari Zone,Ground,Dragon Scale,1,Overworld,Scattered
Kanto,Safari Zone,Tiles,Revive,1,Hidden,Ground tiles
Kanto,Safari Zone,Tiles,Leaf Stone,1,Hidden,Ground tiles
Kanto,Safari Zone,Secret House,HM03-Surf,1,NPC Gift,Secret House reward
Kanto,Silph Co.,Floor 11,Zinc,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 10,Carbos,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 10,Rare Candy,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 10,Great Ball,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 5,Card Key,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 8,Iron,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 7,TM - Imprison,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 7,Calcium,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 6,HP Up,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 6,X Special,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 4,TM - Torment,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 4,Escape Rope,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 4,Full Heal,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 4,Max Revive,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 3,Protein,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 3,TM - Electro Ball,1,Overworld,Floor loot
Kanto,Silph Co.,Floor 2,Dubious Disc,1,Overworld,Floor loot
Kanto,Silph Co.,Potted Tree,HP Up,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,Nugget,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,Zinc,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,Carbos,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,Iron,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,PP Up,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,Elixir,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,Protein,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,Revive,1,Hidden,Potted trees
Kanto,Silph Co.,Floor 9,Hyper Potion,1,Hidden,Yellow boxes
Kanto,Silph Co.,Potted Tree,Calcium,1,Hidden,Potted trees
Kanto,Silph Co.,Potted Tree,Great Ball,1,Hidden,Potted trees
Kanto,Silph Co.,Floor 11,Master Ball,1,NPC Gift,Given by the President
Kanto,Silph Co.,Floor 3,TM - Thunder Wave,1,NPC Gift,Given by employee
Kanto,Pokemon Tower,Floor 3,Escape Rope,1,Overworld,Floor loot
Kanto,Pokemon Tower,Floor 4,Elixir,1,Overworld,Floor loot
Kanto,Pokemon Tower,Floor 4,Awakening,1,Overworld,Floor loot
Kanto,Pokemon Tower,Floor 4,Great Ball,1,Overworld,Floor loot
Kanto,Pokemon Tower,Floor 5,Cleanse Tag,1,Overworld,Floor loot
Kanto,Pokemon Tower,Floor 6,Nugget,1,Overworld,Floor loot
Kanto,Pokemon Tower,Floor 6,Rare Candy,1,Overworld,Floor loot
Kanto,Pokemon Tower,Floor 5,TinyMushroom,1,Hidden,Ground tiles
Kanto,Pokemon Tower,Floor 7,Soothe Bell,1,Hidden,Use Itemfinder where Mr. Fuji stood
Kanto,Seafoam Islands,B3F,King's Rock,1,Overworld,Ice puzzles
Kanto,Seafoam Islands,B3F,Pearl,1,Overworld,Floor loot
Kanto,Seafoam Islands,B4F,Water Stone,1,Overworld,Floor loot
Kanto,Seafoam Islands,B4F,Revive,1,Overworld,Floor loot
Kanto,Seafoam Islands,B4F,Hyper Potion,1,Overworld,Floor loot
Kanto,Seafoam Islands,B3F,Nugget,1,Hidden,In rock
Kanto,Seafoam Islands,B4F,Water Stone,1,Hidden,In rock
Kanto,Pokemon Mansion,Floor 1,Escape Rope,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Floor 1,Protein,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Floor 2,Wise Glasses,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Floor 3,Zinc,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Floor 3,Calcium,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Floor 3,Iron,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Basement 1,HP Up,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Basement 1,Carbos,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Basement 1,Full Restore,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Basement 1,TM - Blizzard,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Basement 1,Secret Key,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Basement 1,TM - Solarbeam,1,Overworld,Floor loot
Kanto,Pokemon Mansion,Floor 1,Moon Stone,1,Hidden,In rock
Kanto,Pokemon Mansion,Floor 3,Rare Candy,1,Hidden,Ground tile
Kanto,Pokemon Mansion,Basement 1,Elixir,1,Hidden,Ground tile
Kanto,Power Plant,Entrance,Hyper Potion,1,Overworld,Floor loot
Kanto,Power Plant,Center Area,TM - Agility,1,Overworld,Floor loot
Kanto,Power Plant,Center Area,Electirizer,1,Overworld,Floor loot
Kanto,Power Plant,Southeast,TM - Thunder,1,Overworld,Floor loot
Kanto,Power Plant,Northeast,Metal Coat,1,Overworld,Floor loot
Kanto,Power Plant,South,Max Elixir,1,Hidden,Ground tile
Kanto,Power Plant,West,Thunderstone,1,Hidden,Ground tile near door
Kanto,Victory Road,Floor 1,Rare Candy,1,Overworld,Floor loot
Kanto,Victory Road,Floor 1,TM - Aura Sphere,1,Overworld,Floor loot
Kanto,Victory Road,Floor 2,Full Heal,1,Overworld,Floor loot
Kanto,Victory Road,Floor 2,TM - Hyper Beam,1,Overworld,Floor loot
Kanto,Victory Road,Floor 2,Max Revive,1,Overworld,Floor loot
Kanto,Victory Road,Floor 2,TM - Overheat,1,Overworld,Floor loot
Kanto,Victory Road,Floor 3,Protector,1,Overworld,Floor loot
Kanto,Victory Road,Floor 3,TM - Focus Blast,1,Overworld,Floor loot
Kanto,Victory Road,Floor 1,Full Restore,1,Hidden,In rock
Kanto,Victory Road,Floor 1,Great Ball,1,Hidden,In rock
Kanto,Victory Road,Floor 3,TM - Double-Edge,1,NPC Gift,Move tutor near the end
Kanto,Cerulean Cave,Floor 1,Full Restore,2,Overworld,Floor loot
Kanto,Cerulean Cave,Floor 1,Nugget,1,Overworld,Floor loot
Kanto,Cerulean Cave,Floor 2,PP Up,1,Overworld,Floor loot
Kanto,Cerulean Cave,Floor 2,Ultra Ball,2,Overworld,Floor loot
Kanto,Cerulean Cave,Floor 2,Max Elixir,1,Overworld,Floor loot
Kanto,Cerulean Cave,Basement 1,Max Revive,1,Overworld,Floor loot
Kanto,Cerulean Cave,Floor 1,Ultra Ball,1,Hidden,North wall
Kanto,One Island,Poke Center,Meteorite,1,NPC Gift,Bill / Celio
Kanto,One Island,Poke Center,Tri-Pass,1,NPC Gift,Bill / Celio
Kanto,One Island,Treasure Beach,Stardust,3,Hidden,Scattered in sand/grass
Kanto,One Island,Treasure Beach,Ultra Ball,1,Hidden,Scattered in sand/grass
Kanto,One Island,Treasure Beach,Pearl,4,Hidden,Scattered in sand/grass
Kanto,One Island,Treasure Beach,Star Piece,1,Hidden,Scattered in sand/grass
Kanto,One Island,Cape Brink,Rare Candy,1,Hidden,Near house
Kanto,One Island,Cape Brink,PP Max,1,Hidden,Requires Itemfinder
Kanto,One Island,Kindle Road,Black Belt,1,Overworld,Smash rocks
Kanto,One Island,Kindle Road,Max Repel,1,Overworld,Follow path
Kanto,One Island,Kindle Road,Carbos,1,Overworld,Smash rocks
Kanto,One Island,Mt. Ember,Ruby,1,Overworld,Cave floors
Kanto,One Island,Mt. Ember,Magmarizer,1,Overworld,Cave floors
Kanto,One Island,Mt. Ember,Great Ball,1,Overworld,Cave floors
Kanto,One Island,Mt. Ember,Hyper Potion,1,Overworld,Cave floors
Kanto,One Island,Mt. Ember,TM - Explosion,1,NPC Gift,Hiker outside
Kanto,One Island,Mt. Ember,Great Ball,1,Hidden,In rock
Kanto,One Island,Mt. Ember,Fire Stone,1,Hidden,In rock
Kanto,One Island,Ember Spa,HM06-Rock Smash,1,NPC Gift,Old man in the spa
Kanto,Two Island,Cape Brink,Revive,1,Overworld,Overworld path
Kanto,Two Island,Joyful Game Corner,Moon Stone,1,NPC Gift,Reward from the man
Kanto,Three Island,Three Isle Port,Full Restore,1,NPC Gift,Given by the first man
Kanto,Three Island,Three Isle Path,Zinc,1,Overworld,In the cave
Kanto,Three Island,Three Isle Path,Nugget,1,Hidden,In rock
Kanto,Three Island,Three Isle Path,Nugget,1,NPC Gift,Talk to the man
Kanto,Three Island,Bond Bridge,PP Up,1,Hidden,Cut tree
Kanto,Three Island,Bond Bridge,Max Repel,1,Hidden,In rock
Kanto,Three Island,Bond Bridge,Pearl,1,Hidden,Ground tile
Kanto,Three Island,Bond Bridge,Stardust,1,Hidden,Ground tile
Kanto,Three Island,Berry Forest,Razz Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Oran Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Persim Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Pinap Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Chesto Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Full Heal,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Aspear Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Rawst Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Ether,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Bluk Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Wepear Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Cheri Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Nanab Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Pecha Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,SilverPowder,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Lum Berry,1,Overworld,Scattered through forest
Kanto,Three Island,Berry Forest,Iapapa Berry,1,NPC Gift,Rescue Lostelle
Kanto,Four Island,Main Town,Great Ball,1,Overworld,Scattered in town
Kanto,Four Island,Main Town,Pearl,1,Hidden,Scattered in town
Kanto,Four Island,Main Town,Star Piece,1,Overworld,Scattered in town
Kanto,Four Island,Main Town,Stardust,1,Overworld,Scattered in town
Kanto,Four Island,Main Town,TM - Body Slam,1,NPC Gift,Tutor in the NE house
Kanto,Four Island,Icefall Cave,Great Ball,1,Overworld,Ice puzzles
Kanto,Four Island,Icefall Cave,NeverMeltIce,1,Overworld,Ice puzzles
Kanto,Four Island,Icefall Cave,Full Restore,1,Overworld,Ice puzzles
Kanto,Four Island,Icefall Cave,HM07-Waterfall,1,Overworld,Ice puzzles
Kanto,Five Island,Five Isle Meadow,Hyper Potion,1,Overworld,Cut tree
Kanto,Five Island,Five Isle Meadow,PP Up,1,Overworld,Surf water
Kanto,Five Island,Memorial Pillar,Razz Berry,1,Overworld,Grass
Kanto,Five Island,Memorial Pillar,Sitrus Berry,1,Overworld,Grass
Kanto,Five Island,Memorial Pillar,Bluk Berry,1,Overworld,Grass
Kanto,Five Island,Memorial Pillar,Iron,1,Overworld,Ground
Kanto,Five Island,Memorial Pillar,TM - Baton Pass,1,NPC Gift,Place a Lemonade on the memorial
Kanto,Five Island,Memorial Pillar,Pearl,1,Hidden,Ground tile
Kanto,Five Island,Rocket Warehouse,Pearl,2,Overworld,Spin tile puzzles
Kanto,Five Island,Rocket Warehouse,Hyper Potion,1,Overworld,Spin tile puzzles
Kanto,Five Island,Rocket Warehouse,TM - Toxic Spikes,1,Overworld,Spin tile puzzles
Kanto,Five Island,Rocket Warehouse,Net Ball,1,Hidden,Yellow box
Kanto,Five Island,Rocket Warehouse,Nest Ball,1,Hidden,Yellow box
Kanto,Five Island,Lost Cave,Lax Incense,1,Overworld,Navigate door puzzle correctly
Kanto,Five Island,Lost Cave,Sea Incense,1,Overworld,Navigate door puzzle correctly
